t,x,y,theta,xg,yg,D,eD,phi,alpha,v,w
2.65081410005223,1.754144843601909,-1.9141842103554314,2.4281635922854403,-2.0,-2.0,3.75512554470488,-3.75412554470488,-3.118737689075496,5.546901281360936,0.2781690991913376,-5.497155558265788
2.7010322000132874,1.7424777148851098,-1.9075680074524732,2.362585353463164,-2.0,-2.0,3.743618986977438,-3.7426189869774382,-3.116899599384427,5.47948495284759,0.2597555253386083,-5.4295317932401765
2.750880300067365,1.7314800679957323,-1.9009966721334082,2.2864953377196673,-2.0,-2.0,3.7327932110924777,-3.731793211092478,-3.1150669573570164,5.401562295076683,0.23730450154849808,-5.35249851048946
2.8005826000589877,1.7212419778702377,-1.8943902498588314,2.200033380406153,-2.0,-2.0,3.7227402913967125,-3.7217402913967126,-3.113220026810264,5.313253407216417,0.21041071047694432,-5.266632725983185
2.8511008999776095,1.711539925438143,-1.8876379591098043,1.9989161589356623,-2.0,-2.0,3.7132403431981595,-3.7122403431981597,-3.111328198531802,5.110244357467464,0.1438278267629148,-5.074535918830091
2.9019912000512704,1.7024441026133175,-1.880928158228634,1.8831322737229927,-2.0,-2.0,3.704358302928992,-3.7033583029289923,-3.10944339962733,4.992575673350323,0.10241084328587742,-4.966007721665115
2.953006300027482,1.6939075718651562,-1.8743459109120475,1.757068480405059,-2.0,-2.0,3.696044114940629,-3.6950441149406292,-3.1075891886052043,4.864657669010263,0.0560467837385072,-4.849669131809932
3.0021683999802917,1.686007249242553,-1.8680258498258382,1.757068480405059,-2.0,-2.0,3.6883690999929555,-3.6873690999929556,-3.1058038472804927,4.862872327685552,0.055279575442733715,-4.848054166959331
3.052781500038691,1.6787172838775395,-1.8619505161600745,1.6208495631380286,-2.0,-2.0,3.6813066314405014,-3.6803066314405015,-3.1040837270776325,4.724933290215661,0.004616569586546123,-4.723679331547601
3.102508799987845,1.6719936037009835,-1.8561239864135046,1.4746477293657863,-2.0,-2.0,3.6748111969061044,-3.6738111969061045,-3.10243069707651,4.577078426442296,-0.04955899034409312,-4.590441288657897
3.152723200037144,1.6660433918607687,-1.850596343414964,1.3181081331131008,-2.0,-2.0,3.669086480802407,-3.668086480802407,-3.100861813499698,4.4189699466127985,-0.10609089719472545,-4.44664894410688
3.201082200044766,1.6604319449076772,-1.845243646015032,1.1515491507530948,-2.0,-2.0,3.663701891857377,-3.662701891857377,-3.099339649299938,4.2508888000530325,-0.16309712912875396,-4.2907487031634695
3.2516570000443608,1.6541256920403686,-1.8408207705817887,0.9796304760187605,-2.0,-2.0,3.657591092550899,-3.656591092550899,-3.0980586673862596,4.07768914340502,-0.21681238922963314,-4.125422230337914
3.300829999963753,1.6463922400699615,-1.8379845236516634,0.8052137087020714,-2.0,-2.0,3.6499897784814155,-3.6489897784814156,-3.0971901384408462,3.9024038471429177,-0.2642879091311423,-3.9523297253051446
3.352796799968928,1.6361697568047215,-1.8365160262952387,0.6299235344984137,-2.0,-2.0,3.6398430611716774,-3.6388430611716776,-3.096662422039392,3.726585956537806,-0.3033760895511509,-3.7726105769872835
3.400672300020233,1.6225705671911228,-1.8356622029176688,0.45387900746272464,-2.0,-2.0,3.6262962407709174,-3.6252962407709175,-3.0962587675037554,3.55013777496648,-0.33269335632451447,-3.5865856031766414
3.451365099987015,1.6053902633734833,-1.8340747889300455,0.2763263928320105,-2.0,-2.0,3.609206301515185,-3.6082063015151853,-3.095603674325563,3.3719300671575736,-0.3512911469047129,-3.3941515428828506
3.5007393000414595,1.5866772535368114,-1.829992123869718,0.10179086088452886,-2.0,-2.0,3.5907041647822635,-3.5897041647822636,-3.094228278676649,3.196019139561178,-0.35843886902246325,-3.2014495334589266
3.551660900004208,1.56837266213481,-1.823038889207798,-0.06514588422527141,-2.0,-2.0,3.5727578550195482,-3.5717578550195483,-3.092041703297953,3.0268958190726813,-0.35482897125336893,-3.0155296454289404
3.601808000006713,1.5513632420472914,-1.8136710420893312,-0.22355988966466875,-2.0,-2.0,3.556247932515494,-3.555247932515494,-3.089173834888865,2.865613945224196,-0.3420713694079581,-2.8394035689155928
3.6522470000199974,1.536199851667213,-1.8020220124979616,-0.37379333419643357,-2.0,-2.0,3.5417375219610188,-3.540737521961019,-3.085664953293827,2.7118716190973933,-0.321882077229867,-2.674008391203486
3.7025743999984115,1.5233189514609498,-1.7890052092777382,-0.5168015477051259,-2.0,-2.0,3.52963103389516,-3.5286310338951603,-3.0817788505065713,2.5649773028014455,-0.2958096293904196,-2.5192863076711216
3.7520247000502422,1.513146072480842,-1.7750160508114952,-0.6533594460882111,-2.0,-2.0,3.5203427537641874,-3.5193427537641875,-3.0776393959311212,2.4242799498429104,-0.26520886254411746,-2.374756868649545
3.8026219999883324,1.5057280383182499,-1.760888128545411,-0.784157240247269,-2.0,-2.0,3.5138730150250503,-3.5128730150250504,-3.0734920729580413,2.2893348327107725,-0.23124723452208565,-2.2397952906803935
3.8506615000078455,1.5010460625330662,-1.7470956424672663,-0.9095178036950229,-2.0,-2.0,3.510168677718684,-3.509168677718684,-3.0694811111711644,2.1599633074761417,-0.1949934987798207,-2.1137779641098513
3.9011554999742657,1.4986430779430135,-1.7342864903200073,-1.0294410633367015,-2.0,-2.0,3.508718719998088,-3.507718719998088,-3.065790583227794,2.0363495198910924,-0.15746752266230538,-1.9962469082978538
3.9531787000596523,1.49835482629453,-1.722900300461792,-1.1446221988248662,-2.0,-2.0,3.5093120029633154,-3.5083120029633155,-3.0625491095937627,1.9179269107688965,-0.11935310707115945,-1.8859451366641469
4.000468400074169,1.4997819470301945,-1.7132650575327155,-1.2549418881213983,-2.0,-2.0,3.511508308973535,-3.510508308973535,-3.0598458601233176,1.8049039720019193,-0.08143503934653144,-1.7823456792109036
4.051459899987094,1.5025747902340818,-1.7055618814823617,-1.3602938754892335,-2.0,-2.0,3.5149287285547524,-3.5139287285547525,-3.0577264982916037,1.6974326228023702,-0.044380250380662976,-1.6849075130290958
4.10070569999516,1.5061976467480258,-1.6999641025763998,-1.4609164587693158,-2.0,-2.0,3.519011718906912,-3.518011718906912,-3.056227603783809,1.5953111450144932,-0.008623477966778561,-1.5928613416230362
4.151708699995652,1.5103132017783654,-1.6965753284619658,-1.5567210382436376,-2.0,-2.0,3.52340251828789,-3.52240251828789,-3.055368906367659,1.4986478681240212,0.025391549003981037,-1.505835662010499
4.2007865000050515,1.5143625635308389,-1.6954027929567452,-1.6477739928122632,-2.0,-2.0,3.5275379071649398,-3.52653790716494,-3.055136602440558,1.4073626096282947,0.05737928264821583,-1.423411953786728
4.251320300041698,1.5179544531293427,-1.6962745469514335,-1.7336169747176622,-2.0,-2.0,3.5310413032308374,-3.5300413032308375,-3.055470399694268,1.3218534249766059,0.0869730113633204,-1.3457251168693523
4.300916600041091,1.5209883804070659,-1.6991379401012179,-1.8898969964172914,-2.0,-2.0,3.5338190607398268,-3.532819060739827,-3.0563515276986664,1.166454531281375,0.13898594807958925,-1.2026132404516343
4.35170310002286,1.523182391599928,-1.7037641707774267,-1.8898969964172914,-2.0,-2.0,3.5356144912864824,-3.5346144912864825,-3.0577080751125867,1.1678110786952953,0.1386156328624532,-1.2038760235976196
4.401994700077921,1.524176807318231,-1.7100369022931456,-1.959677709117067,-2.0,-2.0,3.536085514700044,-3.535085514700044,-3.05949932047207,1.099821611355003,0.1604063065255595,-1.1402454921142864
4.4525632000295445,1.523760740014395,-1.7176711953389243,-2.0232630364115853,-2.0,-2.0,3.5350529425749975,-3.5340529425749976,-3.0616419956893886,1.0383789592778032,0.17939474159999463,-1.082102029575185
4.502198199974373,1.5220596773793402,-1.7264252612312259,-2.0811203255901556,-2.0,-2.0,3.5326686100898095,-3.5316686100898096,-3.064073657276192,0.9829533316860366,0.19585482325364093,-1.0290879735735707
4.552906200056896,1.5194293152231666,-1.7354827803616413,-2.137073140044997,-2.0,-2.0,3.529355757689697,-3.528355757689697,-3.066574575144574,0.929501435099577,0.2110780852458396,-0.977425611371686
4.600882500060834,1.5157308039474116,-1.745156776663881,-2.242212848439038,-2.0,-2.0,3.5249550570617285,-3.5239550570617286,-3.069232652672376,0.8270198042333381,0.23859710862151687,-0.8768325326866999
4.6533650000346825,1.511502701074321,-1.7547301143153995,-2.242212848439038,-2.0,-2.0,3.52005803027109,-3.5190580302710903,-3.0718583530620336,0.8296455046229956,0.23758473755307566,-0.8794357009102747
4.702840500045568,1.5063716975541652,-1.7644450741472806,-2.2936130229163294,-2.0,-2.0,3.5142749756532083,-3.5132749756532085,-3.074514332493846,0.7809013095775166,0.24954067604568575,-0.8308850603113792
4.7505432000616565,1.5002603723070154,-1.7742261136821376,-2.34213967846741,-2.0,-2.0,3.5075342509640466,-3.5065342509640467,-3.0771798585301235,0.7350401800627138,0.26011604622446943,-0.7847726189158118
4.802234500064515,1.4931923396122335,-1.7840393549657079,-2.3877688794763294,-2.0,-2.0,3.499861671799218,-3.4988616717992183,-3.0798479482094,0.6920790687330705,0.2693846883139648,-0.7411967101845761
4.8511777999810874,1.4852195839037217,-1.7938392824755869,-2.4307475136896644,-2.0,-2.0,3.4913117577031434,-3.4903117577031435,-3.0825086389942293,0.651761125304565,0.27748563291371137,-0.6999720327406374
4.9023053999990225,1.4763923321992198,-1.8034734465192586,-2.4713523025736333,-2.0,-2.0,3.48194289637216,-3.4809428963721603,-3.085121007268649,0.6137687046950155,0.2845612455915495,-0.660838325319964
4.95262920006644,1.4667986578747292,-1.812953226223346,-2.5095919660381334,-2.0,-2.0,3.471840928070046,-3.470840928070046,-3.0876911697054945,0.5780992036673611,0.2906839065365644,-0.6238499402785797
5.000743700074963,1.4565148834414674,-1.8222099579059072,-2.545850191110297,-2.0,-2.0,3.4610842865379916,-3.4600842865379917,-3.0902017282193883,0.5443515371090912,0.2959975073108704,-0.5886400552592036
5.051202600006945,1.4455982996112877,-1.831201099694825,-2.580119031610602,-2.0,-2.0,3.4497305273062175,-3.4487305273062177,-3.092642067640157,0.5125230360295552,0.30056032879123135,-0.5552475527792325
5.100411299965344,1.4340855527993694,-1.839857616345243,-2.6125267326955264,-2.0,-2.0,3.4378175005354743,-3.4368175005354744,-3.0949932175485437,0.48246648485301735,0.30445159681632844,-0.5235550667564393
5.152799200033769,1.422071251440305,-1.848206335973056,-2.6430244640618037,-2.0,-2.0,3.4254361716974002,-3.4244361716974003,-3.09726446297455,0.45423999891274613,0.3077180401773789,-0.4936569850656854
5.202381600043736,1.4096309041759394,-1.856224172837844,-2.671703495153617,-2.0,-2.0,3.4126608960146916,-3.4116608960146917,-3.0994500563693674,0.4277465612157503,0.3104279917443573,-0.46548022203532824
5.252279600012116,1.396763158114402,-1.8639060911878407,-2.698815777504771,-2.0,-2.0,3.3994884180327922,-3.3984884180327923,-3.1015483083531437,0.4027325308483727,0.3126587115218342,-0.4387795692887967
5.301177800050937,1.3699904636135725,-1.8781591864694935,-2.748244926320704,-2.0,-2.0,3.372192300075456,-3.3711923000754562,-3.1054537481456714,0.3572088218249676,0.31583906302697295,-0.3899579860193041
5.354063300066628,1.35616642324282,-1.8848104113276964,-2.770933097098341,-2.0,-2.0,3.3581425970082033,-3.3571425970082034,-3.1072843459594037,0.33635124886106293,0.31690257783628817,-0.36749707103351764
5.451052900054492,1.3421059054628914,-1.891155288536891,-2.7922435221137194,-2.0,-2.0,3.3438778468334367,-3.342877846833437,-3.1090364579533696,0.3167929358396502,0.3176534138938249,-0.3463860056139269
5.452230800059624,1.3421059054628914,-1.891155288536891,-2.8124226668964063,-2.0,-2.0,3.3438778468334367,-3.342877846833437,-3.1090364579533696,0.2966137910569633,0.3196900065001114,-0.32455743438151735
5.502612699987367,1.327842177072537,-1.8971690960164576,-2.8124226668964063,-2.0,-2.0,3.32943054445005,-3.32843054445005,-3.110702308167954,0.2982796412715478,0.318145862096173,-0.3263611739061551
5.552453299984336,1.3134195864863771,-1.902845955561134,-2.831455094618467,-2.0,-2.0,3.314843625944124,-3.313843625944124,-3.1122796693032977,0.2808245746848308,0.31840312107996266,-0.3074456776433434
5.601716400007717,1.2988107050654023,-1.9082164892405042,-2.849413355328002,-2.0,-2.0,3.300087314102679,-3.299087314102679,-3.1137766175089134,0.26436326218091155,0.3184473961781874,-0.2895773278309566
5.652648700051941,1.2840698298116704,-1.9132850494586466,-2.8662819883967994,-2.0,-2.0,3.2852144724091676,-3.2842144724091678,-3.115194065668129,0.24891207727132958,0.3182998281879775,-0.27278055569476845
5.700937399989925,1.269244561565533,-1.9180648483997396,-2.8821396204302894,-2.0,-2.0,3.27027114661668,-3.26927114661668,-3.116535487824881,0.23439586739459184,0.3179872377519471,-0.25697939478291787
